,google,segment
2014-06-11,1.2986829905261854,5
2014-06-12,1.5151301556138828,5
2014-06-13,1.5151301556138828,5
2014-06-14,1.2986829905261854,5
2014-06-15,1.2986829905261854,5
2014-06-16,1.406906573070034,5
2014-06-17,1.2986829905261854,5
2014-06-18,1.2986829905261854,5
2014-06-19,1.2986829905261854,5
2014-06-20,1.2986829905261854,5
2014-06-21,0.974012242894639,5
2014-06-22,1.0822358254384876,5
2014-06-23,0.974012242894639,5
2014-06-24,0.974012242894639,5
2014-06-25,1.0822358254384876,5
2014-06-26,0.8657886603507902,5
2014-06-27,1.1904594079823365,5
2014-06-28,0.974012242894639,5
2014-06-29,1.0822358254384876,5
2014-06-30,1.2986829905261854,5
2014-07-01,1.2986829905261854,5
2014-07-02,1.4235563549998569,6
2014-07-03,1.273708317631451,6
2014-07-04,1.1488349531577795,6
2014-07-05,0.9490375699999047,6
2014-07-06,1.1738096260525137,6
2014-07-07,1.2487336447367166,6
2014-07-08,1.1488349531577795,6
2014-07-09,1.048936261578842,6
2014-07-10,1.1738096260525137,6
2014-07-11,1.198784298947248,6
2014-07-12,1.0739109344735764,6
2014-07-13,1.0239615886841076,6
2014-07-14,1.0239615886841076,6
2014-07-15,1.123860280263045,6
2014-07-16,1.3236576634209196,6
2014-07-17,1.2487336447367166,6
2014-07-18,1.2986829905261854,6
2014-07-19,1.273708317631451,6
2014-07-20,1.123860280263045,6
2014-07-21,1.0988856073683109,6
2014-07-22,1.2986829905261854,6
2014-07-23,1.1738096260525137,6
2014-07-24,1.273708317631451,6
2014-07-25,1.1488349531577795,6
2014-07-26,0.9989869157893735,6
2014-07-27,1.048936261578842,6
2014-07-28,1.0988856073683109,6
2014-07-29,1.123860280263045,6
2014-07-30,1.198784298947248,6
2014-07-31,1.198784298947248,6
2014-08-01,0.9989869157893735,6
2014-08-02,0.9490375699999047,6
2014-08-03,1.0988856073683109,6
2014-08-04,1.0239615886841076,6
2014-08-05,1.0988856073683109,6
2014-08-06,1.2237589718419823,6
2014-08-07,1.3486323363156538,6
2014-08-08,1.1738096260525137,6
2014-08-09,1.0739109344735764,6
2014-08-10,1.0739109344735764,6
2014-08-11,1.198784298947248,6
2014-08-12,1.1488349531577795,6
2014-08-13,1.6982777568419347,6
2014-08-14,1.49848037368406,6
2014-08-15,1.3736070092103883,6
2014-08-16,1.3236576634209196,6
2014-08-17,1.198784298947248,6
2014-08-18,1.4735057007893257,6
2014-08-19,1.2986829905261854,6
2014-08-20,1.273708317631451,6
2014-08-21,1.198784298947248,6
2014-08-22,1.2487336447367166,6
2014-08-23,1.123860280263045,6
2014-08-24,1.1738096260525137,6
2014-08-25,1.0739109344735764,6
2014-08-26,1.1488349531577795,6
2014-08-27,1.0739109344735764,6
2014-08-28,1.048936261578842,6
2014-08-29,1.0739109344735764,6
2014-08-30,1.0239615886841076,6
2014-08-31,1.048936261578842,6
2014-09-01,1.2986829905261854,6
2014-09-02,1.1488349531577795,6
2014-09-03,1.2237589718419823,6
2014-09-04,1.198784298947248,6
2014-09-05,1.198784298947248,6
2014-09-06,1.0988856073683109,6
2014-09-07,1.0739109344735764,6
2014-09-08,1.1738096260525137,6
2014-09-09,1.3486323363156538,6
2014-09-10,1.5484297194735286,6
2014-09-11,1.6982777568419347,6
2014-09-12,1.2986829905261854,6
2014-09-13,1.048936261578842,6
2014-09-14,1.198784298947248,6
2014-09-15,1.1738096260525137,6
2014-09-16,1.0739109344735764,6
2014-09-17,1.1488349531577795,6
2014-09-18,1.1738096260525137,6
2014-09-19,1.3985816821051225,6
2014-09-20,1.0739109344735764,6
2014-09-21,1.0739109344735764,6
2014-09-22,1.123860280263045,6
2014-09-23,1.3236576634209196,6
2014-09-24,1.5484297194735286,6
2014-09-25,1.198784298947248,6
2014-09-26,1.123860280263045,6
2014-09-27,1.0239615886841076,6
2014-09-28,1.0988856073683109,6
2014-09-29,1.273708317631451,6
2014-09-30,1.198784298947248,6
2014-10-01,1.0739109344735764,6
2014-10-02,1.1488349531577795,6
2014-10-03,1.1738096260525137,6
2014-10-04,1.198784298947248,6
2014-10-05,1.573404392368263,6
2014-10-06,1.7482271026314031,6
2014-10-07,1.4735057007893257,6
2014-10-08,1.2986829905261854,6
2014-10-09,1.273708317631451,6
2014-10-10,1.1738096260525137,6
2014-10-11,1.123860280263045,6
2014-10-12,1.0988856073683109,6
