date,price,wikipedia,google,new_topics,new_posts,new_members,new_users,tweets
2015-11-15,333.9,4459.0,1.4482065553494126,391,7419,1525,8459,32216.0
2015-11-16,325.14,5751.0,1.598021026592455,500,8103,1763,4443,35757.0
2015-11-17,327.75,6147.0,1.598021026592455,614,8853,1836,4944,36957.0
2015-11-18,335.44,5981.0,1.598021026592455,520,8667,1707,5472,40387.0
2015-11-19,334.99,5776.0,1.6978973407544835,522,8920,1586,3995,32915.0
2015-11-20,329.2,5623.0,1.6479591836734693,449,8918,1084,5046,33652.0
2015-11-21,321.77,4014.0,1.4981447124304268,457,8619,1754,176,25295.0
2015-11-22,326.15,4538.0,1.4981447124304268,430,8199,1667,13134,17983.0
2015-11-23,323.97,5361.0,1.598021026592455,450,8821,553,4101,21268.0
2015-11-24,323.24,5277.0,1.4981447124304268,493,8734,1381,7565,20427.0
2015-11-25,321.26,4797.0,1.3982683982683983,501,9050,1722,5149,27288.0
2015-11-26,335.8,5287.0,1.6479591836734693,488,9100,1837,3389,24681.0
2015-11-27,347.14,4260.0,1.4482065553494126,438,8852,692,4997,25861.0
2015-11-28,357.35,3801.0,1.4981447124304268,409,8402,617,4302,25749.0
2015-11-29,356.8,3961.0,1.4981447124304268,484,9169,498,5647,24219.0
2015-11-30,366.64,6172.0,1.6479591836734693,524,9420,2154,7504,26261.0
2015-12-01,373.97,6417.0,1.598021026592455,466,9219,1250,5286,25143.0
2015-12-02,364.56,5821.0,1.4981447124304268,589,9196,2018,5937,23887.0
2015-12-03,358.25,5971.0,1.4981447124304268,595,9315,1106,2295,23460.0
2015-12-04,362.24,6544.0,1.4482065553494126,640,8964,788,11001,22066.0
2015-12-05,362.1,4754.0,1.4482065553494126,715,8621,1548,4300,22531.0
2015-12-06,388.16,4314.0,1.598021026592455,661,8772,2045,8362,22728.0
2015-12-07,392.95,6032.0,1.6479591836734693,806,9275,1117,5134,25413.0
2015-12-08,394.58,9024.0,1.997526283240569,646,10188,761,7595,24716.0
2015-12-09,404.63,34963.0,4.294681508967223,898,10570,1776,5445,33862.0
2015-12-10,416.85,15921.0,2.746598639455782,714,10219,1212,6345,25232.0
2015-12-11,423.3,8654.0,2.24721706864564,681,10112,1017,8211,26210.0
2015-12-12,444.94,5274.0,2.0974025974025974,750,10295,899,4944,23062.0
2015-12-13,431.9,5145.0,1.797773654916512,854,9549,1246,12860,21459.0
2015-12-14,436.16,6878.0,1.8477118119975262,885,10352,1272,1831,32070.0
2015-12-15,442.7,7395.0,2.0474644403215834,763,10941,889,8465,28842.0
2015-12-16,461.23,6656.0,1.997526283240569,903,10326,1313,7747,27652.0
2015-12-17,455.18,5779.0,1.7478354978354977,840,10391,2931,6554,23729.0
2015-12-18,454.77,5039.0,1.7478354978354977,897,10450,1795,6229,24189.0
2015-12-19,461.99,4066.0,1.598021026592455,754,9325,1115,6796,21372.0
2015-12-20,461.95,3944.0,1.6479591836734693,704,9271,818,10422,19855.0
2015-12-21,447.36,5190.0,1.6978973407544835,883,9827,1731,5424,24803.0
2015-12-22,437.06,4947.0,1.6978973407544835,860,10605,3051,12638,25707.0
2015-12-23,437.05,5070.0,1.7478354978354977,816,10048,917,1763,26011.0
