date,price,wikipedia,google,new_users,new_miners,new_transactions,new_curr_transacted,tweets
2014-10-16,392.54,6182.0,1.1738096260525137,4240,3,69348.0,293562.37924558064,24445.0
2014-10-17,381.82,5582.0,1.1488349531577795,3728,19,63704.0,280869.44478272396,21491.0
2014-10-18,380.69,4342.0,1.0739109344735764,3737,21,59743.0,190845.2855612309,20572.0
2014-10-19,387.64,4415.0,0.9989869157893735,7490,-11,59608.0,156415.00904314086,18259.0
2014-10-20,388.46,5532.0,0.9989869157893735,1434,6,74634.0,273722.26563886553,23312.0
2014-10-21,381.29,5630.0,1.0239615886841076,2323,30,74676.0,240636.36202819922,22499.0
2014-10-22,378.31,5623.0,1.0239615886841076,2870,42,72910.0,293869.75994243444,20348.0
2014-10-23,381.92,5267.0,1.0739109344735764,3128,-51,73392.0,320123.8894487777,21036.0
2014-10-24,362.39,4682.0,0.9490375699999047,2305,11,71548.0,276398.991701943,11147.0
2014-10-25,356.69,3674.0,0.9740122428946391,5266,-1,66365.0,229349.7573749253,22449.0
2014-10-26,348.43,4009.0,0.9490375699999047,3356,22,65022.0,186075.48543181852,20090.0
2014-10-27,350.32,5343.0,1.0239615886841076,3406,4,76723.0,302535.3475961999,21632.0
2014-10-28,352.32,5654.0,1.0988856073683109,3195,-30,80904.0,268648.5158954523,20173.0
2014-10-29,353.86,5616.0,1.0988856073683109,2271,36,81688.0,331994.3979999908,22081.0
2014-10-30,340.2,5294.0,1.0239615886841076,2551,4,82903.0,313836.8052990707,22855.0
2014-10-31,342.12,4989.0,0.899088224210436,3361,-12,76191.0,260856.4860147695,22906.0
2014-11-01,336.23,4324.0,0.9740122428946391,2859,60,62766.0,223580.24379285707,30263.0
2014-11-02,326.35,5608.0,0.9490375699999047,8218,28,67037.0,197305.36262831028,21408.0
2014-11-03,324.45,6431.0,1.0739109344735764,2023,-17,80568.0,269206.124536867,26060.0
2014-11-04,326.45,6571.0,1.123860280263045,2016,-37,78943.0,557975.0770996824,20992.0
2014-11-05,327.98,6609.0,0.9989869157893735,3174,36,80557.0,491206.4680655839,20871.0
2014-11-06,341.03,7431.0,1.2487336447367166,3722,-15,81145.0,336963.26927338546,24348.0
2014-11-07,346.86,7378.0,1.198784298947248,2628,-13,76297.0,327012.89476695226,24244.0
2014-11-08,342.99,4773.0,1.0988856073683109,951,44,66236.0,193931.0470835954,18964.0
2014-11-09,344.23,4998.0,1.3236576634209196,7092,-2,66535.0,235105.29350229143,18949.0
2014-11-10,357.54,6910.0,1.123860280263045,2435,42,82266.0,355045.1912555032,22516.0
2014-11-11,374.76,6843.0,1.1738096260525137,1709,-20,78358.0,293053.2152449243,23156.0
2014-11-12,366.74,7093.0,1.3236576634209196,3801,-30,86285.0,461646.81350415427,25601.0
2014-11-13,413.77,7653.0,1.4485310278945913,2939,12,84939.0,604569.5358666327,26798.0
2014-11-14,418.8,6892.0,1.2487336447367166,5032,-19,78509.0,327727.02706177835,23449.0
2014-11-15,396.8,4595.0,1.0988856073683109,3151,24,66757.0,246875.33268029089,21104.0
2014-11-16,379.74,4796.0,1.198784298947248,6898,6,69580.0,265142.73756805155,21652.0
2014-11-17,386.74,6905.0,1.123860280263045,1787,-74,80380.0,328761.7782014485,25728.0
2014-11-18,388.9,7433.0,1.1738096260525137,2274,-3,79592.0,409309.00219142024,28238.0
2014-11-19,376.57,6431.0,1.1738096260525137,2090,-9,78755.0,283396.89045827306,25117.0
2014-11-20,376.93,5947.0,1.0739109344735764,3053,9,79760.0,383218.1007290021,23707.0
2014-11-21,361.7,5389.0,1.123860280263045,2480,2,72828.0,336631.8643669335,24577.0
2014-11-22,351.01,3880.0,0.9989869157893735,2331,25,67982.0,255062.4641192665,22344.0
2014-11-23,355.25,62458.0,0.899088224210436,6935,-2,70514.0,163771.45476818466,20544.0
2014-11-24,363.06,5374.0,1.0739109344735764,1697,27,76393.0,266503.14504339924,25545.0
2014-11-25,378.3,5349.0,1.0739109344735764,1740,-33,78238.0,352643.1991511441,25985.0
2014-11-26,377.93,5578.0,1.0239615886841076,2415,15,79644.0,321907.3253057869,27929.0
2014-11-27,369.61,5310.0,0.9490375699999047,2343,-1,75335.0,292042.03533918376,25790.0
2014-11-28,369.79,4505.0,1.048936261578842,2900,-25,78714.0,416530.2974796863,24830.0
2014-11-29,375.03,3761.0,1.0239615886841076,1621,35,72649.0,324800.8808644105,26555.0
2014-11-30,376.28,4515.0,0.9989869157893735,7597,1,76924.0,301591.71560186427,20117.0
2014-12-01,377.59,6096.0,1.0988856073683109,2348,-31,90942.0,416712.10240707314,26508.0
2014-12-02,379.24,6446.0,1.2237589718419823,2537,10,90518.0,420727.1072818043,32744.0
2014-12-03,381.39,6386.0,1.1738096260525137,2602,3,93232.0,454356.5701295832,24990.0
2014-12-04,377.54,7393.0,1.0988856073683109,2672,1,91592.0,384743.84898470546,26370.0
2014-12-05,372.21,5720.0,1.0239615886841076,4212,-45,83712.0,333728.100742465,25043.0
2014-12-06,372.56,3885.0,0.8741135513157016,2180,28,73597.0,243158.8708034072,21503.0
2014-12-07,375.12,4386.0,1.1488349531577795,7053,38,68455.0,274000.5535149396,21983.0
2014-12-08,375.34,6713.0,1.0988856073683109,1889,-39,83097.0,878599.0769584216,24899.0
2014-12-09,365.7,6454.0,1.0988856073683109,2319,-5,83027.0,423325.86664305924,27224.0
2014-12-10,352.35,5883.0,1.048936261578842,2810,-2,81854.0,434480.2913732332,25421.0
2014-12-11,348.02,9168.0,1.5234550465787942,2529,5,77005.0,328487.9126597045,32162.0
2014-12-12,349.98,7243.0,1.3486323363156538,4181,26,74789.0,340758.03463286196,25383.0
2014-12-13,352.15,4247.0,1.123860280263045,656,9,69899.0,282964.4909179845,26584.0
2014-12-14,347.43,3999.0,1.0988856073683109,6375,25,73238.0,232248.7099003261,23579.0
2014-12-15,351.11,5927.0,1.0988856073683109,1988,-7,86710.0,433272.1682156612,26094.0
2014-12-16,340.24,7242.0,1.2986829905261854,2154,-17,91064.0,428065.7314405504,27622.0
2014-12-17,330.69,6673.0,1.2487336447367166,3970,-29,87940.0,451921.49761682726,28350.0
2014-12-18,320.79,5753.0,1.2237589718419823,3305,-2,86849.0,451545.65336076927,26969.0
2014-12-19,312.43,5087.0,1.0988856073683109,3956,20,85558.0,338951.7818381691,23574.0
2014-12-20,314.99,4034.0,0.9989869157893735,4540,29,78542.0,261106.1122949404,23524.0
2014-12-21,326.96,3784.0,1.0988856073683109,4129,-16,71127.0,217041.36130171106,21411.0
2014-12-22,322.57,5331.0,1.1488349531577795,2358,11,89645.0,366023.12533688545,23172.0
2014-12-23,330.07,4934.0,1.198784298947248,3274,-27,90435.0,415685.9165889021,25504.0
2014-12-24,334.74,4058.0,0.9490375699999047,2468,7,75314.0,273514.2069485087,24192.0
2014-12-25,325.19,3380.0,1.0239615886841076,2309,27,62865.0,182809.7874728907,21216.0
2014-12-26,318.48,4767.0,1.2986829905261854,3578,-11,70227.0,210342.91138427285,21728.0
2014-12-27,326.1,10366.0,2.497467289473433,2801,6,70193.0,218597.24234373478,21543.0
2014-12-28,316.53,5901.0,1.0739109344735764,6224,27,68820.0,205504.69929758672,18427.0
2014-12-29,316.67,10143.0,1.0239615886841076,1001,-3,78390.0,305743.9102477233,19605.0
2014-12-30,314.42,6531.0,1.0239615886841076,1831,-17,78473.0,383421.6611844407,19477.0
2014-12-31,309.81,5450.0,1.0739109344735764,1650,7,69369.0,313917.2224993593,20017.0
2015-01-01,316.9,4330.0,0.9740122428946391,1262,19,54669.0,140829.34513468182,18681.0
2015-01-02,315.23,5519.0,1.0739109344735764,3779,-2,73287.0,258962.90405495363,9385.0
2015-01-03,315.03,4981.0,1.1738096260525137,3015,-5,76953.0,362980.34971325006,9385.0
2015-01-04,293.11,5365.0,1.3985816821051225,2995,1,77124.0,371622.73156845773,7300.0
2015-01-05,271.68,7109.0,1.4485310278945913,1913,-23,88259.0,441658.0400261989,23092.0
2015-01-06,271.39,8907.0,1.49848037368406,2355,-5,79772.0,526565.0106726962,25041.0
2015-01-07,282.85,7537.0,1.2237589718419823,1668,-22,83189.0,495142.16985898546,26987.0
2015-01-08,293.46,8469.0,1.1488349531577795,1714,34,96314.0,430220.15348109906,22546.0
2015-01-09,287.17,6350.0,1.1738096260525137,4488,-11,90801.0,458334.2574021468,30439.0
2015-01-10,278.13,5236.0,1.198784298947248,5313,177,89179.0,370645.16890534415,22162.0
2015-01-11,277.14,4747.0,1.0239615886841076,3102,-28,74737.0,349127.9149312737,20760.0
2015-01-12,268.93,6253.0,1.048936261578842,1430,15,81883.0,457455.93289333046,24861.0
2015-01-13,268.91,8317.0,1.3736070092103883,2076,-39,90520.0,691111.8653018747,30086.0
2015-01-14,234.63,7855.0,2.122847196052419,3132,-16,90047.0,792354.9327899006,35414.0
2015-01-15,192.13,10457.0,1.7732017755261378,3221,55,101876.0,701490.7812763486,26417.0
2015-01-16,208.79,6680.0,1.573404392368263,4957,-1,92623.0,607680.773391802,26448.0
2015-01-17,208.81,4282.0,1.2237589718419823,5150,8,80769.0,379578.3017578646,19187.0
2015-01-18,200.21,4386.0,1.123860280263045,3476,6,77854.0,358485.7589399342,24812.0
2015-01-19,209.06,6279.0,1.0739109344735764,2715,11,88919.0,428707.5579325305,27548.0
2015-01-20,215.72,5654.0,1.198784298947248,2512,-21,90373.0,556260.6732066303,26982.0
2015-01-21,211.52,6789.0,1.273708317631451,2856,-11,84384.0,567565.5402049458,24660.0
