weekday,date,price_usd
Tu,22-10-13,194.04
We,23-10-13,191.77
Th,24-10-13,186.51
Fr,25-10-13,183.34
Mo,28-10-13,198.58
Tu,29-10-13,200.58
We,30-10-13,202.47
Th,31-10-13,206.34
Fr,01-11-13,208.18
Mo,04-11-13,236.56
Tu,05-11-13,256.21
We,06-11-13,291.71
Th,07-11-13,313.08
Fr,08-11-13,325.65
Mo,11-11-13,350.02
Tu,12-11-13,369.84
We,13-11-13,409.2301
Fr,15-11-13,430.62
Mo,18-11-13,691.6101
Tu,19-11-13,516.92
We,20-11-13,626.7701
Th,21-11-13,714.9601
Fr,22-11-13,843.9501
Mo,25-11-13,834.0001
Tu,26-11-13,926.3001
We,27-11-13,983.4301
Th,28-11-13,1055.5801
Fr,29-11-13,1137.0001
Mo,02-12-13,1023.9901
Tu,03-12-13,1056.5001
We,04-12-13,1130.0001
Th,05-12-13,990.0001
Fr,06-12-13,552.16
Mo,09-12-13,926.0001
Tu,10-12-13,942.7301
We,11-12-13,863.0001
Th,12-12-13,893.4001
Fr,13-12-13,869.9001
Mo,16-12-13,729.3601
Tu,17-12-13,533.7101
We,18-12-13,564.48
Th,19-12-13,707.8201
Fr,20-12-13,599.47
Mo,23-12-13,651.0101
Tu,24-12-13,648.2701
We,25-12-13,710.4201
Th,26-12-13,706.4201
Fr,27-12-13,721.4401
Mo,30-12-13,720.9401
Tu,31-12-13,746.8901
We,01-01-14,747.8101
Th,02-01-14,785.1701
Fr,03-01-14,801.8901
Mo,06-01-14,914.5101
Tu,07-01-14,797.7101
We,08-01-14,839.0001
Th,09-01-14,813.4601
Fr,10-01-14,858.8601
Mo,13-01-14,829.9401
Tu,14-01-14,833.5401
We,15-01-14,845.1001
Th,16-01-14,813.8001
Fr,17-01-14,808.5501
Mo,20-01-14,820.8401
Tu,21-01-14,822.8601
We,22-01-14,817.0401
Th,23-01-14,773.1001
Fr,24-01-14,793.4901
Mo,27-01-14,762.8101
Tu,28-01-14,793.2601
We,29-01-14,787.1001
Th,30-01-14,799.3301
Fr,31-01-14,806.6901
Mo,03-02-14,806.8301
Tu,04-02-14,804.6101
We,05-02-14,786.0601
Th,06-02-14,687.7201
Fr,07-02-14,727.5201
Mo,10-02-14,713.0601
Tu,11-02-14,669.3201
We,12-02-14,657.3801
Th,13-02-14,581.6401
Fr,14-02-14,652.1801
Mo,17-02-14,642.5001
Tu,18-02-14,626.3201
We,19-02-14,612.22
Th,20-02-14,571.3701
Fr,21-02-14,563.3101
Mo,24-02-14,451.58
Tu,25-02-14,609.9601
We,26-02-14,580.7601
Th,27-02-14,578.79
Fr,28-02-14,566.91
Mo,03-03-14,669.7601
Tu,04-03-14,672.1001
We,05-03-14,667.0001
Th,06-03-14,660.9001
Fr,07-03-14,626.7401
Mo,10-03-14,628.2501
Tu,11-03-14,638.8001
We,12-03-14,639.0301
Th,13-03-14,637.2701
Fr,14-03-14,635.5001
Mo,17-03-14,613.0001
Tu,18-03-14,617.8601
We,19-03-14,603.85
Th,20-03-14,581.8401
Fr,21-03-14,571.7101
Mo,24-03-14,582.4501
Tu,25-03-14,572.0001
We,26-03-14,561.6201
Th,27-03-14,513.5801
Fr,28-03-14,504.0001
Mo,31-03-14,465.7501
Tu,01-04-14,482.2301
We,02-04-14,429.86
Th,03-04-14,436.2301
Fr,04-04-14,455.27
Mo,07-04-14,454.2001
Tu,08-04-14,452.62
We,09-04-14,428.9
Th,10-04-14,376.9
Fr,11-04-14,426.53
Tu,15-04-14,517.6
We,16-04-14,527.1401
Th,17-04-14,496.8101
Fr,18-04-14,476.1701
Mo,21-04-14,503.1801
Tu,22-04-14,496.1801
We,23-04-14,492.02
Th,24-04-14,476.52
Fr,25-04-14,462.5901
Mo,28-04-14,439.1701
Tu,29-04-14,447.8101
We,30-04-14,448.235
Th,01-05-14,460.925
Fr,02-05-14,451.51
Mo,05-05-14,430.335
Tu,06-05-14,427.66
We,07-05-14,447.4551
Th,08-05-14,441.8
Fr,09-05-14,452.29
Mo,12-05-14,441.4401
Tu,13-05-14,437.5549
We,14-05-14,448.3051
Th,15-05-14,447.375
Fr,16-05-14,449.675
Mo,19-05-14,449.0551
Tu,20-05-14,489.4299
We,21-05-14,494.1801
Th,22-05-14,522.3051
Fr,23-05-14,532.4751
Mo,26-05-14,581.8101
Tu,27-05-14,577.54
We,28-05-14,570.665
Th,29-05-14,568.6175
Fr,30-05-14,613.92
Mo,02-06-14,655.27
Tu,03-06-14,671.83
We,04-06-14,648.99
Th,05-06-14,659.9875
Fr,06-06-14,652.645
Mo,09-06-14,646.1951
Tu,10-06-14,645.34
We,11-06-14,634.4426
Th,12-06-14,591.0076
Fr,13-06-14,582.37
Mo,16-06-14,592.8101
Tu,17-06-14,606.39
We,18-06-14,605.3225
Th,19-06-14,604.87
Fr,20-06-14,594.47
Mo,23-06-14,586.97
Tu,24-06-14,585.23
We,25-06-14,570.425
Th,26-06-14,571.59
Fr,27-06-14,576.525
Mo,30-06-14,646.965
Tu,01-07-14,643.3325
We,02-07-14,648.2175
Th,03-07-14,642.8726
Fr,04-07-14,634.875
Mo,07-07-14,623.9151
Tu,08-07-14,624.8076
We,09-07-14,624.14
Th,10-07-14,618.0475
Fr,11-07-14,633.6775
Mo,14-07-14,622.0826
Tu,15-07-14,621.7401
