date	nTweets	googleSearch	wikiViews	totalTweets	nUsersFiltered	nUsersFilteredNet	nDownloads	nFBShares
2009-10-19	55	0	21	17971998	6576	529	0	0
2009-10-20	58	0	10	18477090	6617	530	0	0
2009-10-21	73	0	9	18054462	6657	532	0	0
2009-10-22	84	0	15	17807070	6707	536	0	0
2009-10-23	58	0	4	14956908	6758	541	0	0
2009-10-24	82	0	15	14637360	6807	545	0	0
2009-10-25	60	0	10	17080356	6858	547	0	0
2009-10-26	59	0	14	17951382	6903	549	0	0
2009-10-27	75	0	14	18147234	6943	552	0	0
2009-10-28	93	0	20	18642018	6986	555	0	0
2009-10-29	82	0	17	18116310	7011	555	0	0
2009-10-30	90	0	17	15544464	7043	556	0	0
2009-10-31	65	0	13	15766086	7085	556	0	0
2009-11-01	64	0	11	18002922	7108	556	0	0
2009-11-02	89	0	11	19080108	7121	559	0	0
2009-11-03	109	0	11	18760560	7162	559	0	0
2009-11-04	100	0	18	19255344	7196	561	0	0
2009-11-05	122	0	10	19332654	7230	562	0	0
2009-11-06	94	0	10	16374258	7264	563	0	0
2009-11-07	70	0	6	16863888	7308	565	0	0
2009-11-08	42	0	7	18935796	7349	568	0	0
2009-11-09	53	0	10	19126494	7378	569	0	0
2009-11-10	108	0	22	19384194	7426	577	0	0
2009-11-11	116	0	10	19755282	7462	578	0	0
2009-11-12	106	0	16	19806822	7495	579	0	0
2009-11-13	107	0	18	16714422	7542	580	0	0
2009-11-14	88	0	12	16915428	7585	582	0	0
2009-11-15	89	0	0	20172756	7635	584	0	0
2009-11-16	89	0	10	19992366	7690	584	0	0
2009-11-17	128	0	13	19842900	7745	588	0	0
2009-11-18	146	0	14	19198650	7790	592	0	0
2009-11-19	106	0	8	18863640	7831	594	0	0
2009-11-20	112	0	9	17023662	7881	594	0	0
2009-11-21	116	0	13	17858610	7930	601	0	0
2009-11-22	78	0	0	20445918	7993	604	0	0
2009-11-23	77	0	8	21342714	8042	605	0	0
2009-11-24	107	0	10	21255096	8099	607	0	0
2009-11-25	143	0	9	21141708	8152	609	0	0
2009-11-26	127	0	7	21316944	8201	611	0	0
2009-11-27	113	0	4	18363702	8246	613	0	0
2009-11-28	89	0	11	18343086	8279	613	0	0
2009-11-29	114	0	6	19884132	8301	613	0	0
2009-11-30	125	0	7	20275836	8344	613	0	0
2009-12-01	95	0	9	21353022	8375	617	0	0
2009-12-02	87	0	13	22105506	8421	621	0	0
2009-12-03	96	0	6	21126246	8470	625	0	0
2009-12-04	102	0	19	17760684	8503	627	0	0
2009-12-05	117	0	17	18162696	8560	636	0	0
2009-12-06	92	0	19	20157294	8632	641	0	0
2009-12-07	99	0	8	20621154	8707	644	0	0
2009-12-08	101	0	24	20518074	8777	651	0	0
2009-12-09	81	0	19	19533660	8850	660	0	0
2009-12-10	101	0	11	20662386	8916	667	0	0
2009-12-11	103	0	15	18317316	8978	671	0	0
2009-12-12	127	0	10	18616248	9049	678	0	0
2009-12-13	151	0	11	20512920	9118	684	0	0
2009-12-14	69	0	8	21574644	9179	691	0	0
2009-12-15	71	0	10	20662386	9246	699	0	0
2009-12-16	75	0	15	20234604	9331	710	0	0
2009-12-17	85	0	37	17353518	9436	722	0	0
2009-12-18	143	0	25	16363950	9581	755	0	0
2009-12-19	82	0	12	17765838	9720	766	0	0
2009-12-20	91	0	25	20394378	9835	773	0	0
2009-12-21	91	0	8	21368484	9944	779	0	0
2009-12-22	119	0	12	21631338	10061	785	0	0
2009-12-23	102	0	17	22760064	10166	795	0	0
2009-12-24	127	0	8	18136926	10265	809	0	0
2009-12-25	73	0	10	18039000	10365	817	0	0
2009-12-26	80	0	8	19600662	10475	824	0	0
2009-12-27	100	0	10	21322098	10578	829	0	0
2009-12-28	128	0	10	21275712	10657	830	0	0
2009-12-29	108	0	14	23394006	10778	838	0	0
2009-12-30	92	0	12	23419776	10873	844	0	0
2009-12-31	92	0	13	24466038	10971	854	0	0
2010-01-01	103	0	17	21858114	11061	861	0	0
2010-01-02	127	0	12	21265404	11153	869	0	0
2010-01-03	82	0	8	23450700	11288	884	0	0
2010-01-04	163	0	9	24301110	11416	892	0	0
2010-01-05	107	0	5	23919714	11552	903	0	0
2010-01-06	149	0	9	24239262	11660	905	0	0
2010-01-07	208	0	12	24708276	11756	909	0	0
2010-01-08	126	0	9	22095198	11849	912	0	0
2010-01-09	114	0	9	22775526	11941	914	0	0
2010-01-10	98	0	7	25187598	12074	920	0	0
2010-01-11	117	0	15	25254600	12177	927	0	0
2010-01-12	115	0	19	24646428	12292	932	0	0
2010-01-13	114	0	12	25527762	12390	938	0	0
2010-01-14	130	0	9	26259630	12477	945	0	0
2010-01-15	135	0	12	23265156	12568	949	0	0
2010-01-16	151	0	11	23734170	12655	950	0	0
2010-01-17	106	0	13	26501868	12750	952	0	0
2010-01-18	139	0	10	26321478	12849	958	0	0
2010-01-19	126	0	16	26682258	12941	959	0	0
