Date,New Topics,New Posts,New Members
26.09.16,505,10219,348
25.09.16,351,9849,230
24.09.16,389,9919,360
23.09.16,409,10075,376
22.09.16,412,10262,350
21.09.16,457,10444,343
20.09.16,442,11238,350
19.09.16,425,10690,332
18.09.16,406,10485,267
17.09.16,397,9823,316
16.09.16,354,9978,318
15.09.16,374,10004,288
14.09.16,416,10618,304
13.09.16,458,10778,344
12.09.16,467,11049,361
11.09.16,371,10230,333
10.09.16,412,10122,395
09.09.16,366,9405,303
08.09.16,330,8954,351
07.09.16,364,10398,377
06.09.16,438,11168,318
05.09.16,380,10548,338
04.09.16,415,10342,284
03.09.16,439,10069,339
02.09.16,447,10840,359
01.09.16,390,11734,376
31.08.16,391,11853,432
30.08.16,397,11606,328
29.08.16,413,10429,325
28.08.16,309,10590,268
27.08.16,365,9533,321
26.08.16,373,10731,340
25.08.16,391,10686,328
24.08.16,414,10922,420
23.08.16,434,11702,383
22.08.16,383,10229,332
21.08.16,317,9579,293
20.08.16,327,9786,344
19.08.16,390,11056,332
18.08.16,422,10714,352
17.08.16,432,11062,322
16.08.16,420,10353,355
15.08.16,391,10049,336
14.08.16,325,9721,233
13.08.16,356,9910,289
12.08.16,373,10660,252
11.08.16,438,10825,334
10.08.16,416,10837,333
09.08.16,391,10305,368
08.08.16,424,10572,366
07.08.16,361,9192,265
06.08.16,362,9054,351
05.08.16,431,11665,340
04.08.16,411,12695,809
03.08.16,521,14271,684
02.08.16,543,12082,430
01.08.16,431,10762,328
31.07.16,307,9657,243
30.07.16,336,9439,263
29.07.16,398,10096,290
28.07.16,428,10864,331
27.07.16,421,11132,300
26.07.16,459,12144,354
25.07.16,410,11679,286
24.07.16,324,10467,251
23.07.16,312,9642,252
22.07.16,422,11228,303
21.07.16,408,11930,330
20.07.16,397,12141,314
19.07.16,378,11235,309
18.07.16,398,11271,335
17.07.16,260,9993,232
16.07.16,363,10089,260
15.07.16,396,10909,323
14.07.16,426,12268,333
13.07.16,451,11946,316
12.07.16,435,11583,312
11.07.16,416,10834,289
10.07.16,343,11222,230
09.07.16,390,11112,273
08.07.16,388,11232,327
07.07.16,500,12844,334
06.07.16,422,12019,345
05.07.16,435,11621,322
04.07.16,431,11848,312
03.07.16,555,10982,1201
02.07.16,514,10461,910
01.07.16,555,11434,777
30.06.16,538,12040,856
29.06.16,624,12755,788
28.06.16,512,13043,808
27.06.16,563,13163,892
26.06.16,488,12293,594
25.06.16,474,11273,575
24.06.16,561,12979,657
23.06.16,537,12838,626
22.06.16,545,13931,563
21.06.16,543,13166,556
20.06.16,553,13955,551
19.06.16,409,13051,441
18.06.16,542,13517,609
17.06.16,648,14729,718
16.06.16,658,16068,760
15.06.16,631,14905,695
14.06.16,624,15209,769
13.06.16,671,15183,750
12.06.16,563,13589,611
11.06.16,564,11449,670
10.06.16,502,12105,652
09.06.16,570,12163,775
08.06.16,562,13079,697
07.06.16,692,13039,808
06.06.16,551,11721,691
05.06.16,461,11083,669
04.06.16,534,10779,757
03.06.16,552,10944,743
02.06.16,576,11380,706
01.06.16,567,12932,643
31.05.16,621,12284,581
30.05.16,582,11280,638
29.05.16,489,10547,538
28.05.16,520,10777,569
27.05.16,546,11019,613
26.05.16,612,11740,660
25.05.16,567,12139,667
24.05.16,584,13770,692
23.05.16,564,11083,660
22.05.16,476,9294,535
21.05.16,519,9669,520
20.05.16,503,10706,515
19.05.16,510,11136,568
18.05.16,521,11420,565
17.05.16,511,10972,504
16.05.16,507,9641,469
15.05.16,423,9148,484
14.05.16,446,9374,500
13.05.16,506,9772,541
12.05.16,459,9693,545
11.05.16,532,10120,586
10.05.16,556,10298,547
09.05.16,497,9669,489
08.05.16,483,8839,465
07.05.16,481,9047,452
06.05.16,440,8961,487
05.05.16,533,9959,534
04.05.16,482,9810,519
03.05.16,532,9980,465
02.05.16,577,10515,576
01.05.16,458,9174,434
30.04.16,461,8769,414
29.04.16,462,9291,456
28.04.16,500,10195,515
27.04.16,539,11817,547
26.04.16,533,11891,597
25.04.16,519,10174,569
24.04.16,483,9281,539
23.04.16,492,9914,646
22.04.16,578,11641,646
21.04.16,571,12124,718
20.04.16,547,11862,716
19.04.16,585,12042,785
18.04.16,553,11423,765
17.04.16,477,10417,602
16.04.16,475,10829,612
15.04.16,525,11826,620
14.04.16,525,11193,623
13.04.16,571,12691,755
12.04.16,582,13422,675
11.04.16,545,11189,704
10.04.16,487,10621,576
09.04.16,513,10915,640
08.04.16,527,11488,642
07.04.16,536,12005,589
06.04.16,533,11489,573
05.04.16,538,11684,616
04.04.16,538,11169,604
03.04.16,435,11157,523
02.04.16,447,10792,527
01.04.16,629,11568,699
31.03.16,771,12209,970
30.03.16,699,11185,743
29.03.16,708,11391,797
28.03.16,660,9929,779
27.03.16,535,9308,649
26.03.16,644,10115,812
25.03.16,614,10242,693
24.03.16,567,10256,679
23.03.16,595,10811,599
